fips,state_abbr,county_name,pop_est_2020,ed_visits,ed_visits_per_capita,ed_visits_high
13001,GA,Appling,18325,7740,0.42,False
13003,GA,Atkinson,8393,0,0.0,False
13005,GA,Bacon,11036,3759,0.34,False
13007,GA,Baker,2971,0,0.0,False
13009,GA,Baldwin,45099,30686,0.68,False
13011,GA,Banks,19352,0,0.0,False
13013,GA,Barrow,85588,20508,0.24,False
13015,GA,Bartow,109426,25767,0.24,False
13017,GA,Ben Hill,16614,5430,0.33,False
13019,GA,Berrien,19408,9407,0.48,False
13021,GA,Bibb,152737,134826,0.88,True
13023,GA,Bleckley,12955,3019,0.23,False
13025,GA,Brantley,19202,0,0.0,False
13027,GA,Brooks,15357,8280,0.54,False
13029,GA,Bryan,40755,0,0.0,False
13031,GA,Bulloch,80839,53049,0.66,False
13033,GA,Burke,22648,3079,0.14,False
13035,GA,Butts,25426,14301,0.56,False
13037,GA,Calhoun,6231,0,0.0,False
13039,GA,Camden,55388,29692,0.54,False
13043,GA,Candler,10985,3800,0.35,False
13045,GA,Carroll,121633,74414,0.61,False
13047,GA,Catoosa,67996,22161,0.33,False
13049,GA,Charlton,13430,0,0.0,False
13051,GA,Chatham,289463,152745,0.53,False
13053,GA,Chattahoochee,10551,36701,3.48,True
13055,GA,Chattooga,24843,0,0.0,False
13057,GA,Cherokee,265274,58659,0.22,False
13059,GA,Clarke,127795,130526,1.02,True
13061,GA,Clay,2866,0,0.0,False
13063,GA,Clayton,292646,44929,0.15,False
13065,GA,Clinch,6582,1690,0.26,False
13067,GA,Cobb,762944,228526,0.3,False
13069,GA,Coffee,43218,34543,0.8,False
13071,GA,Colquitt,45542,34669,0.76,False
13073,GA,Columbia,160377,0,0.0,False
13075,GA,Cook,17291,0,0.0,False
13077,GA,Coweta,150849,26172,0.17,False
13079,GA,Crawford,12231,0,0.0,False
13081,GA,Crisp,22034,23272,1.06,True
13083,GA,Dade,16057,0,0.0,False
13085,GA,Dawson,27113,0,0.0,False
13087,GA,Decatur,26457,13958,0.53,False
13089,GA,DeKalb,762009,225276,0.3,False
13091,GA,Dodge,20452,11192,0.55,False
13093,GA,Dooly,13174,0,0.0,False
13095,GA,Dougherty,86477,77078,0.89,True
13097,GA,Douglas,147988,64376,0.44,False
13099,GA,Early,10037,6753,0.67,False
13101,GA,Echols,4002,0,0.0,False
13103,GA,Effingham,65765,17611,0.27,False
13105,GA,Elbert,19335,8148,0.42,False
13107,GA,Emanuel,22507,4842,0.22,False
13109,GA,Evans,10638,3747,0.35,False
13111,GA,Fannin,26521,13128,0.5,False
13113,GA,Fayette,115821,38710,0.33,False
13115,GA,Floyd,98604,124537,1.26,True
13117,GA,Forsyth,250847,61841,0.25,False
13119,GA,Franklin,23504,21302,0.91,True
13121,GA,Fulton,1077402,570301,0.53,False
13123,GA,Gilmer,31978,0,0.0,False
13125,GA,Glascock,2984,0,0.0,False
13127,GA,Glynn,85568,54175,0.63,False
13129,GA,Gordon,58780,31981,0.54,False
13131,GA,Grady,24491,12442,0.51,False
13133,GA,Greene,18837,18828,1.0,True
13135,GA,Gwinnett,942627,209345,0.22,False
