fips,state_abbr,county_name,ahrf_pop_est_2020,ahrf_pop_den_2010,ahrf_phys_pricare,ahrf_phys_total,ahrf_hosp_total,ahrf_hosp_cah,ahrf_hosp_with_ed,ahrf_hosp_with_offcampus_ed,ahrf_hosp_with_pedsed,ahrf_hosp_with_traumactr,ahrf_ed_visits,ahrf_ed_visits_per_capita,ahrf_phys_pricare_per_2000,chr_healthoutcomes_rank,chr_healthoutcomes_quartile,chr_healthfactors_rank,chr_healthfactors_quartile,chr_lengthoflife_rank,chr_lengthoflife_quartile,chr_qualityoflife_rank,chr_qualityoflife_quartile,chr_healthbehaviors_rank,chr_healthbehaviors_quartile,chr_clinicalcare_rank,chr_clinicalcare_quartile,chr_sesfactors_rank,chr_sesfactors_quartile,chr_physenv_rank,chr_physenv_quartile,svi_perc,svi_ses_perc,svi_hcd_perc,svi_msl_perc,svi_htt_perc,syn_provider_count,comm_health_needs_score
13001,GA,Appling County,18325.0,36.0,6.0,9.0,1.0,0.0,0.0,0.0,0.0,0.0,7740.0,0.42,0.65,113.0,3.0,118.0,3.0,108.0,3.0,116.0,3.0,131.0,4.0,152.0,4.0,79.0,2.0,14.0,1.0,0.9669,0.8818,0.9605,0.8153,0.894,11.0,2.97
13003,GA,Atkinson County,8393.0,24.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112.0,3.0,137.0,4.0,122.0,4.0,108.0,3.0,130.0,4.0,154.0,4.0,115.0,3.0,15.0,1.0,0.9615,0.979,0.7803,0.9395,0.7042,3.0,3.46
13005,GA,Bacon County,11036.0,42.9,7.0,10.0,1.0,1.0,0.0,0.0,0.0,0.0,3759.0,0.34,1.27,139.0,4.0,123.0,4.0,144.0,4.0,115.0,3.0,118.0,3.0,159.0,4.0,92.0,3.0,22.0,1.0,0.9389,0.8408,0.9535,0.7978,0.8204,7.0,2.31
13007,GA,Baker County,2971.0,10.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.0,2.0,128.0,4.0,74.0,2.0,82.0,3.0,104.0,3.0,109.0,3.0,141.0,4.0,104.0,3.0,0.7424,0.729,0.5782,0.6759,0.6068,1.0,1.64
13009,GA,Baldwin County,45099.0,177.3,20.0,63.0,2.0,0.0,1.0,0.0,0.0,0.0,30686.0,0.68,0.89,91.0,3.0,95.0,3.0,98.0,3.0,84.0,3.0,71.0,2.0,59.0,2.0,110.0,3.0,159.0,4.0,0.8666,0.9131,0.1576,0.7084,0.9494,18.0,1.8
13011,GA,Banks County,19352.0,79.3,4.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.41,60.0,2.0,66.0,2.0,63.0,2.0,56.0,2.0,51.0,2.0,143.0,4.0,37.0,1.0,130.0,4.0,0.5586,0.714,0.4658,0.6081,0.2474,1.0,-1.48
13013,GA,Barrow County,85588.0,432.7,20.0,56.0,1.0,0.0,1.0,0.0,0.0,0.0,20508.0,0.24,0.47,27.0,1.0,43.0,2.0,35.0,1.0,28.0,1.0,35.0,1.0,101.0,3.0,26.0,1.0,151.0,4.0,0.4204,0.5675,0.5533,0.7962,0.0506,15.0,-2.79
13015,GA,Bartow County,109426.0,218.0,43.0,106.0,1.0,0.0,0.0,0.0,0.0,0.0,25767.0,0.24,0.79,45.0,2.0,46.0,2.0,56.0,2.0,34.0,1.0,37.0,1.0,83.0,3.0,50.0,2.0,120.0,4.0,0.5914,0.5717,0.5511,0.7151,0.4238,17.0,-2.2
13017,GA,Ben Hill County,16614.0,70.5,9.0,11.0,1.0,0.0,0.0,0.0,0.0,0.0,5430.0,0.33,1.08,154.0,4.0,131.0,4.0,156.0,4.0,149.0,4.0,144.0,4.0,106.0,3.0,130.0,4.0,42.0,2.0,0.8726,0.8204,0.9207,0.7186,0.6253,9.0,2.85
13019,GA,Berrien County,19408.0,42.7,4.0,5.0,1.0,0.0,1.0,0.0,0.0,0.0,9407.0,0.48,0.41,117.0,3.0,116.0,3.0,100.0,3.0,139.0,4.0,121.0,4.0,144.0,4.0,94.0,3.0,45.0,2.0,0.85,0.9621,0.8325,0.5094,0.4887,6.0,3.1
13021,GA,Bibb County,152737.0,622.8,219.0,841.0,5.0,0.0,1.0,0.0,0.0,1.0,134826.0,0.88,2.87,129.0,4.0,89.0,3.0,135.0,4.0,117.0,3.0,95.0,3.0,5.0,1.0,128.0,4.0,92.0,3.0,0.9175,0.821,0.8316,0.8131,0.865,45.0,-0.15
13023,GA,Bleckley County,12955.0,60.5,5.0,8.0,1.0,1.0,0.0,0.0,0.0,0.0,3019.0,0.23,0.77,50.0,2.0,51.0,2.0,47.0,2.0,54.0,2.0,70.0,2.0,28.0,1.0,64.0,2.0,57.0,2.0,0.7395,0.8194,0.4518,0.5486,0.6125,7.0,-1.39
13025,GA,Brantley County,19202.0,41.6,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31,130.0,4.0,121.0,4.0,138.0,4.0,114.0,3.0,143.0,4.0,138.0,4.0,101.0,3.0,63.0,2.0,0.6229,0.8697,0.8138,0.2232,0.249,3.0,1.66
13027,GA,Brooks County,15357.0,32.9,3.0,3.0,1.0,1.0,1.0,0.0,0.0,0.0,8280.0,0.54,0.39,95.0,3.0,92.0,3.0,95.0,3.0,102.0,3.0,83.0,3.0,131.0,4.0,80.0,2.0,91.0,3.0,0.8398,0.8933,0.3808,0.8586,0.6097,6.0,2.23
13029,GA,Bryan County,40755.0,69.4,26.0,56.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.28,18.0,1.0,9.0,1.0,44.0,2.0,9.0,1.0,13.0,1.0,14.0,1.0,8.0,1.0,112.0,3.0,0.3389,0.399,0.602,0.6603,0.0939,6.0,-5.95
13031,GA,Bulloch County,80839.0,104.4,43.0,119.0,2.0,0.0,0.0,0.0,0.0,0.0,53049.0,0.66,1.06,46.0,2.0,50.0,2.0,29.0,1.0,65.0,2.0,61.0,2.0,65.0,2.0,49.0,2.0,95.0,3.0,0.8121,0.8707,0.1401,0.5457,0.9583,24.0,-0.7
13033,GA,Burke County,22648.0,28.2,7.0,11.0,1.0,0.0,0.0,0.0,0.0,0.0,3079.0,0.14,0.62,143.0,4.0,125.0,4.0,146.0,4.0,123.0,4.0,105.0,3.0,95.0,3.0,140.0,4.0,105.0,3.0,0.8455,0.8159,0.7835,0.7227,0.6613,8.0,2.7
13035,GA,Butts County,25426.0,128.3,6.0,7.0,1.0,1.0,1.0,0.0,0.0,0.0,14301.0,0.56,0.47,83.0,3.0,109.0,3.0,84.0,3.0,90.0,3.0,91.0,3.0,46.0,2.0,137.0,4.0,124.0,4.0,0.7653,0.8201,0.3222,0.4868,0.8319,5.0,1.96
